title,year,endyear,authors,organization,type,filename,location
Klamath Tribes Quality Assurance Project Plan (QAPP),2019,NA,Craig Spoonemore,Klamath Tribes,technical report,Klamath Tribes QAAP 2019.pdf,NA
"Quantifying the Benthic Source of Nutrients to the Water Column of Upper Klamath Lake, Oregon",2007,NA,"James S. Kuwabara, Dennis D. Lynch, Brent R. Topping, Fred Murphy, James L. Carter, Nancy S. Simon, Francis Parchaso, Tamara M. Wood, Mary K. Lindenberg, Katryn Wiese, Ronald J. Avanzino",USGS,technical report,Kuwabara et al. 2007.pdf,Upper Klamath Lake
"BENTHIC NUTRIENT SOURCES TO HYPEREUTROPHIC UPPER KLAMATH LAKE, OREGON, USA",2009,NA,"JAMES S. KUWABARA, BRENT R. TOPPING, DENNIS D. LYNCH, JAMES L. CARTER, HEDEFF ESSAID",USGS,journal article,Kuwabara et al. 2009.pdf,Upper Klamath Lake
"Benthic Processes Affecting Contaminant Transport in Upper Klamath Lake, Oregon",2016,NA,"James S. Kuwabara, Brent R. Topping, James L. Carter, Rick A. Carlson, Francis Parchaso, Steven V. Fend, Natalie Stauffer-Olsen, Andrew J. Manning, Jennie M. Land",USGS,technical report,Kuwabara et al. 2016.pdf,Upper Klamath Lake
UPPER KLAMATH BASIN NUTRIENT-LOADING STUDY— Estimate of Wind-Induced Resuspension of Bed Sediment During Periods of Low Lake Elevation,1996,NA,"Antonius Laenen, A.P. LeTourneau",USGS,technical report,Laenen and Letourneau 1996.pdf,Upper Klamath Basin
An Assessment of the Effects of Klamath Marsh On Water Rights Above and Below Klamath Marsh,1999,NA,Jonathan L. La Marche,NA,technical report,LaMarche 1999.pdf,Klamath Marsh
"Physical, Chemical, and Biological Characteristics of Upper Klamath Lake, Oregon During Summer 2002",2003,NA,"D.M. Lieberman, A. Montano, G.C. Holdren",USBR,technical report,Lieberman et al. 2003.pdf,Upper Klamath Lake
"Water Quality of a Drained Wetland, Caledonia Marsh on Upper Klamath Lake, Oregon, after Flooding in 2006",2009,NA,"Mary K. Lindenberg, Tamara M. Wood",USGS,technical report,Lindenberg and Wood 2009.pdf,Caledonia Marsh
"pb Geochronology and Trace Metal Concentrations of Sediments from Upper Klamath Lake and Lake Euwana, Oregon",1981,NA,"E.A. Martin, C.A. Rice",USGS,journal article,Martin and Rice 1981.pdf,"Upper Klamath Lake, Lake Euwana"
"ANALYSIS OF WOOD RIVER STREAMFLOW, WATER YEARS 1991-1997",1997,NA,Graham Matthews,NA,technical report,Matthews 1997.pdf,Wood River
2005 PROJECT MONITORING REPORT,2006,NA,Graham Matthews & Associates,Graham Matthews & Associates,technical report,Matthews and Associates 2006.pdf,"Wood River, Sevenmile, Fourmile"
"SPRAGUE RIVER WATERSHED: STREAMFLOW, SEDIMENT TRANSPORT AND A PRELIMINARY SEDIMENT BUDGET, WY2004-2006",2007,NA,Graham Matthews & Associates,Graham Matthews & Associates,technical report,Matthews and Associates 2007.pdf,Sprague River
DRAFT 2006 PROJECT MONITORING REPORT,2007,NA,Graham Matthews & Associates,Graham Matthews & Associates,technical report,Matthews and Associates 2007b.pdf,"Wood River, Sevenmile, Fourmile"
FOURMILE-SEVENMILE RESTORATION ASSESSMENT PROJECT,2009,NA,Graham Matthews & Associates,Graham Matthews & Associates,technical report,Matthews and Associates 2009.pdf,"Sevenmile, Fourmile"
WOOD RIVER VALLEY TREATMENT WETLAND ASSESSMENT PROJECT,2010,NA,Graham Matthews & Associates,Graham Matthews & Associates,technical report,Matthews and Associates 2010.pdf,Wood River
2007-2010 PROJECT MONITORING REPORT,2011,NA,Graham Matthews & Associates,Graham Matthews & Associates,technical report,Matthews and Associates 2011.pdf,"Wood River, Sevenmile"
2007-2010 KBRT MONITORING REPORT,2011,NA,Graham Matthews & Associates,Graham Matthews & Associates,technical report,Matthews and Associates 2011a.pdf,Sevenmile
2011 PROJECT MONITORING REPORT,2012,NA,Graham Matthews & Associates,Graham Matthews & Associates,technical report,Matthews and Associates 2012.pdf,"Wood River, Sevenmile"
2011 KBRT MONITORING REPORT,2012,NA,Graham Matthews & Associates,Graham Matthews & Associates,technical report,Matthews and Associates 2012a.pdf,Sevenmile
Unionized ammonia in restored wetlands at the Williamson River Delta,2007,NA,"Aaron Maxwell, Ross Egenolf, Kris Fischer, Heather Hendrixson, Matt Barry","TNC, Klamath Tribes",technical report,Maxwell et al. 2007.pdf,Williamson River Delta
Analysis of Trends and Changes in Upper Klamath Lake Hydroclimatology,2008,NA,Tim Mayer Ph.D.,USFWS,technical report,Mayer 2008.pdf,Upper Klamath Lake
Klamath Marsh Hydrology and Water Rights,2007,NA,"Tim Mayer, Fred Wurster, Dan Craver",USFWS,technical report,Mayer et al. 2007.pdf,Klamath Marsh
"Evaluating the Potential for Watershed Restoration to Reduce Nutrient Loading to Upper Klamath Lake, Oregon",2007,NA,"Paul McCormick, Sharon G. Campbell",USGS,technical report,McCormick and Campbell 2007.pdf,Upper Klamath Lake
"Guidance for Riparian Vegetation Response to Management Change, Sprague River Valley, Oregon",2009,NA,"Pat McDowell, Chris Massingill",UO,technical report,McDowell and Massingill 2009.pdf,Sprague River Valley
INTERIM REPORT UPPER KLAMATH LAKE STUDIES OREGON,1976,NA,"William E. Miller, Jerry C. Tash",FWPCA,technical report,Miller and Tash 1967.pdf,Upper Klamath Lake
"USE OF AQUATIC AND TERRESTRIAL PLANT DECOMPOSITION PRODUCTS FOR THE CONTROL OF APHANIZOMENON FLOS-AQUAE AT UPPER KLAMATH LAKE, OREGON",2009,NA,"Allen J. Milligan Ph.D., Patrick Hayes Ph.D., N. Stan Geiger, Maria Kavanaugh",OSU,technical report,Milligan et al. 2009.pdf,Upper Klamath Lake
"Relation Between Selected Water-Quality Variables, Climatic Factors, and Lake Levels in Upper Klamath and Agency Lakes, Oregon, 1990-2006",2007,NA,Jennifer L. Morace,USGS,technical report,Morace 2007.pdf,"Upper Klamath Lake, Agency Lake"
Evaluating Stream Restoration Projects in the Sprague River Basin,2012,NA,"NewFields River Basin Services, Dr. G. M. Kondolf",NA,technical report,NewFields and Kondolf 2012.pdf,Sprague River Basin
Combined analyses of long-term (1990-2015) water quality and plankton dynamics of Upper Klamath Lake (Phase II),2018,NA,"Jens M. Nielsen, Jacob Kann, Michael T. Brett","UW, Aquatic Ecosystem Sciences",technical report,Nielsen et al. 2018.pdf,Upper Klamath Lake
"Geomorphology and Flood-Plain Vegetation of the Sprague and Lower Sycan Rivers, Klamath Basin, Oregon",2015,NA,"Jim E. O’Connor, Patricia F. McDowell, Pollyanna Lind, Christine G. Rasmussen, and Mackenzie K. Keith",USGS,technical report,O'Connor et al. 2015.pdf,"Sprague, Lower Sycan Rivers"
Klamath Headwaters Agricultural Water Quality Management Area Plan,2019,NA,Oregon Department of Agriculture,Oregon Department of Agriculture,technical report,Oregon Department of Agriculture 2019.pdf,Klamath Headwaters
QUALITY OF KLAMATH BASIN WATERS IN OREGON,1964,NA,Oregon State Sanitary Authority,Oregon State Sanitary Authority,technical report,Oregon State Sanitory Authority 1964.pdf,Klamath Basin
"THE CHEMICAL AND BIOLOGICAL IMPACT OF KLAMATH MARSH ON THE WILLIAMSON RIYER, OREGON",1981,NA,"E. M. Perdue, C. R. Lytle, M. S. Sweet, J. W. Sweet",PSU,technical report,Perdue et al. 1981.pdf,Klamath Marsh
REPORT OF AQUATIC WEED SURVEY SUMMER 1955,1955,NA,"H. K. Phinney, J. L. McLachlan",OSU,technical report,Phinney and McLachlan 1955.pdf,NA
"KLAMATH LAKE, AN INSTANCE OF NATURAL ENRlCHMENT",1960,NA,"H. K. Phinney, CHESTER A. PEEK",OSU,technical report,Phinney and Peek 1960.pdf,Klamath Lake
A Survey of the Phytoplankton Problems in Klamath Lake,1959,NA,"H. K. Phinney, J. L. McLachlan",OSU,technical report,Phinney et al. 1959.pdf,Klamath Lake
Lower Sprague-Lower Williamson Watershed Assessment,2009,NA,"Andréa Rabe, Christopher Calonje",Rabe Consulting,technical report,Rabe and Calonje 2009.pdf,"Lower Sprague River, Lower Williamson River"
Upper Klamath Lake Basin Nutrient-Loading StudyAssessment of Historic Flows in the Williamson and Sprague Rivers,1999,NA,"JOHN C. RISLEY, ANTONIUS LAENEN",USGS,technical report,Risley and Laenen 1999.pdf,"Williamson River, Sprague River"
An Analysis of Statistical Methods for Seasonal Flow Forecasting in the Upper Klamath River Basin of Oregon and California,2005,NA,"John C. Risley, Marshall W. Gannett, Jolyne K. Lea, Edwin A. Roehl Jr.",USGS,technical report,Risley et al. 2005.pdf,Upper Klamath River Basin
"Using the Precipitation-Runoff Modeling System to Predict Seasonal Water Availability in the Upper Klamath River Basin, Oregon and California",2019,NA,John C. Risley,USGS,technical report,Risley et al. 2019.pdf,Upper Klamath River Basin
SYCAN RIVER ASSESSMENT AND RESTORATION FEASIBILITY STUDY,2007,NA,River Design Group,River Design Group,technical report,River Design Group 2007.pdf,Sycan River
"Review of Revised Klamath River Total Maximum Daily Load Models from Link River Dam to Keno Dam, Oregon",2013,NA,"Stewart A. Rounds, Annett B. Sullivan",USGS,technical report,Rounds and Sullivan 2013.pdf,Klamath River
Nutrient Loading in Klamath/Agency Lakes and Background Sources,1999,NA,Kenneth A. Rykbost,OSU,technical report,Rykbost 1999.pdf,"Klamath Lake, Agency Lake"
Nutrient Loading of Surface Waters in the Upper Klamath Basin: Agricultural and Natural Sources,2001,NA,"Kenneth A. Rykbost, Brian A. Charlton",OSU,technical report,Rykbost and Charlton 2001.pdf,Upper Klamath Basin
"SEDIMENTS AND SEDIMENT-WATER NUTRIENT INTERCHANGE IN UPPER KLAMATH LAKE, OREGON",1974,NA,"William D. Sanville, Charles F. Powers, Arnold R. Gahler",USEPA,technical report,Sanville et al. 1974.pdf,Upper Klamath Lake
"ENVIRONMENTAL RESEARCH IN THE KLAMATH BASIN, OREGON",1993,NA,S. G. Campbell,USBR,technical report,Sartoris et al. 1993a.pdf,Klamath Basin
"Evaluating External Nutrient and Suspended-Sediment Loads to Upper Klamath Lake, Oregon, Using Surrogate Regressions with Real-Time Turbidity and Acoustic Backscatter Data",2016,NA,"Liam N. Schenk, Chauncey W. Anderson, Paul Diaz, Marc A. Stewart",USGS,technical report,Schenk et al. 2016.pdf,Upper Klamath Lake
"Differentiating Sediment Sources Using Sediment Fingerprinting Techniques, in the Sprague River Basin, South-Central Oregon",2019,NA,"Liam N. Schenk, Tessa M. Harden, Julia K. Kelson",USGS,technical report,Schenk et al. 2019.pdf,Sprague River Basin
"Physical and Chemical Characteristics Including Total and Geochemical Forms of Phosphorus in Sediment from the Top 30 Centimeters of Cores Collected in October 2006 at 26 Sites in Upper Klamath Lake, Oregon",2011,NA,"Nancy S. Simon, Sarah N. Ingle",USGS,technical report,Simon and Ingle 2011.pdf,Upper Klamath Lake
Characterization of Cyanophyte Biomass in a Bureau of Reclamation Reservoir,2013,NA,"Nancy S. Simon, Ahmad Abdul Ali, Kyle Michael Samperton, Charles S. Korson, Kris Fischer, Michael L. Hughes",USGS,technical report,Simon et al. 2013.pdf,Upper Klamath Lake
"Restoration Plan for Wocus (Nuphar lutea polysepala) in Upper Klamath and Agency Lakes, Oregon",2016,NA,Megan M. Skinner,Klamath Tribes,technical report,Skinner 2016.pdf,Upper Klamath Basin
Klamath River Basin Water-Quality Data,2018,NA,"Cassandra D. Smith, Stewart A. Rounds, Leonard L. Orzol",USGS,fact sheet,Smith et al. 2018.pdf,Klamath River Basin
"Nitrogen and Phosphorus Loading from Drained Wetlands Adjacent to Upper Klamath and Agency Lakes, Oregon",1997,NA,"Daniel T. Snyder, Jennifer L. Morace",USGS,technical report,Snyder and Morace 1997.pdf,"Upper Klamath Lake, Agency Lake"
"Spectral Reflectance Measurements of a Microcystis Bloom in Upper Klamath Lake, Oregon",2007,NA,"B. B. Maruthi Sridhar, Robert K. Vincent",BGSU,journal article,Sridhar  and Vincent 2007.pdf,Upper Klamath Lake
"Evapotranspiration from Wetland and Open-Water Sites at Upper Klamath Lake, Oregon, 2008–2010",2013,NA,"David I. Stannard, Marshall W. Gannett, Danial J. Polette, Jason M. Cameron, M. Scott Waibel, J. Mark Spears",USGS,technical report,Stannard et al. 2013.pdf,Upper Klamath Lake
Some Cladocera and Copepoda from the Upper Klamath River Basin,1971,NA,Jerry C. Tash,University of Arizona,journal article,Tash 1971.pdf,Upper Klamath River Basin
"Water Quality Conditions on the Williamson River Delta, Oregon: One Year Post-Restoration",2009,NA,The Nature Conserancy,TNC,technical report,The Nature Conservancy 2009.pdf,Williamson River Delta
"POTENTIAL EUTROPIUCATION CONTROL MEASURES FOR UPPER KLAMATH LAKE, OREGON: DATA EVALUATION AND EXPERIMENTAL DESIGN",1982,NA,U.S. Army Corps of Engineers,USACE,technical report,U.S. Army Corps of Engineers 1982.pdf,Upper Klamath Lake
WOOD RIVER WETLAND MONITORING REPORT,2005,NA,U.S. Bureau of Land Management,USBR,technical report,US Bureau of Land Management 2005.pdf,Wood River
Using Wetlands to Prevent the Surface Accumulation of Aphanizomenon flos-aquae from Upper Klamath Lake,2018,NA,Arick Christopher Rouhe,PSU,technical report,Using Wetlands to Prevent the Surface Accumulation of _i_Aphanizo (1).pdf,Upper Klamath Lake
"A Nutrient-Balance Model for Agency Lake, Oregon",1995,NA,William W. Walker Jr. Ph.D.,NA,technical report,Walker 1995.pdf,Agency Lake
"Development of a Phosphorus TMDL for Upper Klamath Lake, Oregon",2001,NA,William W. Walker Jr. Ph.D.,NA,technical report,Walker 2001.pdf,Upper Klamath Lake
EVALUATION OF WATER AND NUTRIENT BALANCES FOR THE UPPER KLAMATH LAKE BASIN IN WATER YEARS 1992-2010,2012,NA,AQUATIC ECOSYSTEM SCIENCES,AQUATIC ECOSYSTEM SCIENCES,technical report,Walker et al. 2012.pdf,Upper Klamath Lake Basin
"SPATIAL AND TEMPORAL NUTRIENT LOADING DYNAMICS IN THE SPRAGUE RIVER BASIN, OREGON",2015,NA,"Jeffrey D. Walker PhD, Jacob Kann PhD, William W. Walker Jr. PhD",AQUATIC ECOSYSTEM SCIENCES,technical report,Walker et al. 2015.pdf,Sprague River Basin
"Revision and Proposed Modification of a Total Maximum Daily Load Model for Upper Klamath Lake, Oregon",2015,NA,"Susan A. Wherry, Tamara M. Wood, Chauncey W. Anderson",USGS,technical report,Wherry et al. 2015.pdf,Upper Klamath Lake
"A Metabolism-Based Whole Lake Eutrophication Model to Estimate the Magnitude and Time Scales of the Effects of Restoration in Upper Klamath Lake, South-Central Oregon",2018,NA,"Susan A. Wherry, Tamara M. Wood",USGS,technical report,Wherry et al. 2018.pdf,Upper Klamath Lake
"NUTRIENT CHARACTERISTICS OF STREAMS IN THE WILLIAMSON RIVER BASIN, OREGON, 1992-93: SUMMARY OF FINDINGS.",2000,NA,John S. Williams,USGS,technical report,Williams 2000.pdf,Williamson River Basin
Hydrodynamic Modeling of Upper Klamath Lake,2001,NA,Philip Williams & Associates,PWA,technical report,Williams and Associates 2001.pdf,Upper Klamath Lake
"Sediment Oxygen Demand in Upper Klamath and Agency Lakes, Oregon, 1999",2001,NA,TAMARA M. WOOD,USGS,technical report,Wood 2001.pdf,"Upper Klamath Lake, Agency Lake"
"Dependence of Flow and Transport through the Williamson River Delta, Upper Klamath Lake, Oregon, on Wind, River Inflow, and Lake Elevation",2012,NA,TAMARA M. WOOD,USGS,technical report,Wood 2012.pdf,Upper Klamath Lake
"USE OF UnTRIM TO INVESTIGATE DISSOLVED OXYGEN TRANSPORT IN UPPER KLAMATH LAKE, OREGON",2006,NA,"Tamara M. Wood, Ralph T. Cheng",Drexel University,technical report,Wood and Cheng 2006.pdf,Upper Klamath Lake
"Relation Between Selected Water-Quality Variables and Lake Level in Upper Klamath and Agency Lakes, Oregon",1996,NA,"TAMARA M. WOOD, GREGORY J. FUHRER, JENNIFER L. MORACE",USGS,technical report,Wood et al. 1996.pdf,"Upper Klamath Lake, Agency Lake"
"Water-Quality Conditions in Upper Klamath Lake, Oregon, 2002-04",2006,NA,"Tamara M. Wood, Gene R. Hoilman, Mary K. Lindenberg",USGS,technical report,Wood et al. 2006.pdf,Upper Klamath Lake
"Modeling Hydrodynamics and Heat Transport in Upper Klamath Lake, Oregon, and Implications for Water Quality",2008,NA,"Tamara M. Wood, Ralph T. Cheng, Jeffrey W. Gartner, Gene R. Hoilman, Mary K. Lindenberg, Roy E. Wellman",USGS,technical report,Wood et al. 2008.pdf,Upper Klamath Lake
"Technical Evaluation of a Total Maximum Daily Load Model for Upper Klamath Lake, Oregon",2013,NA,"Tamara M. Wood, Susan A. Wherry, James L. Carter, James S. Kuwabara, Nancy S. Simon, Stewart A. Rounds",USGS,technical report,Wood et al. 2013.pdf,Upper Klamath Lake
