title,year,endyear,authors,organization,type,filename,location
"Recent Paleolimnology of Upper Klamath Lake, Oregon",2001,NA,"J. Eilers, J. Kann, J. Cornett, K. Moser, A. St. Amand, C. Gubala",USBR,technical report,Eilers et al. 2001.pdf,Upper Klamath Lake
"Paleolimnological evidence of change in a shallow, hypereutrophic lake:  Upper Klamath Lake, Oregon, USA",2004,NA,"J. Eilers, J. Kann, J. Cornett, K. Moser, A. St. Amand",MaxDepth Aquatics,technical report,Eilers et al. 2004.pdf,Upper Klamath Lake
"Water-Quality Data from Upper Klamath and Agency Lakes, Oregon, 2009–10",2012,NA,"D. Blake Eldridge, Sara L. Caldwell Eldridge, Liam N. Schenk, Dwight Q. Tanner, Tamara M. Wood",USGS,technical report,Eldridge et al. 2012.pdf,"Upper Klamath Lake, Agency Lake"
"Microcystins, nutrient dynamics, and other environmental factors during blooms of nonmicrocystin-producing Aphanizomenon flos-aquae in Upper Klamath Lake, Oregon, 2009",2013,NA,"Sara L. Caldwell Eldridge , Tamara M. Wood , Kathy R. Echols, Brent R. Topping",USGS,journal article,Eldridge et al. 2013.pdf,Upper Klamath Lake
"Statistical Analysis of the Water-Quality Monitoring Program, Upper Klamath Lake, Oregon, and Optimization of the Program for 2013 and Beyond",2014,NA,"Sara L. Caldwell Eldridge, Susan A. Wherry, Tamara M. Wood",USGS,technical report,Eldridge et al. 2014.pdf,Upper Klamath Lake
"Using High-Throughput DNA Sequencing, Genetic Fingerprinting, and Quantitative PCR as Tools for Monitoring Bloom-Forming and Toxigenic Cyanobacteria in Upper Klamath Lake, Oregon, 2013 and 2014",2017,NA,"Sara L. Caldwell Eldridge, Connor Driscoll, Theo W. Dreher",USGS,technical report,Eldridge et al. 2017.pdf,Upper Klamath Lake
Williamson River Delta Restoration Project Vegetation Technical Report,2004,NA,Adrien Elseroad,TNC,technical report,Elseroad 2004.pdf,Williamson River Delta
WILLIAMSON RIVER DELTA PRESERVE WETLAND VEGETATION MONITORING 2000-2004,2006,NA,"Adrien Elseroad, Allison Aldous, Carla Stevens, Leslie Bach",TNC,technical report,Elseroad et al. 2006.pdf,Williamson River Delta
Upper Williamson River Watershed Assessment,2005,NA,David Evans and Associates,KBEF,watershed assessment,Evans and Associates 2005.pdf,Upper Williamson River
"Effect of Water-Column pH on Sediment-Phosphorus Release Rates in Upper Klamath Lake, Oregon, 2001",2004,NA,"LAWRENCE H. FISHER, TAMARA M. WOOD",USBR,technical report,Fisher and Wood 2004.pdf,Upper Klamath Lake
Horizontal Zonation of Water Quality in Hanks Marsh,1996,NA,Margaret G. Forbes,NBS,technical report,Forbes 1996.pdf,Upper Klamath Lake
Selected Water Quality Dynamics and Horizontal Zonation of Water Quality in Hanks Marsh,1998,NA,"Margaret G. Forbes, James J. Sartoris, David Sisneros","HSU, USGS",technical report,Forbes et al. 1998.pdf,Upper Klamath Lake
Field Studies on Sediment-Water Algal Nutrient Interchange Processes and Water Quality of Upper Klamath and Agency Lakes,1969,NA,A.R. Gahler,FWPCA,technical report,Gahler 1969.pdf,"Upper Klamath Lake, Agency Lake"
Sediment-Water Nutrient Interchange,1969,NA,A.R. Gahler,FWPCA,technical report,Gahler 1969a.pdf,NA
Watershed Strategies for Improving Water Quality,1995,NA,"Robert A. Gearheart, Jeffrey K. Anderson, Margaret George Forbes, Mark Osburn, Daniel Oros",HSU,technical report,Gearheart et al. 1995.pdf,Upper Klamath Lake
Reassociating wetlands with Upper Klamath Lake to improve water quality,2001,NA,N. S. GEIGER,Shapiro and Associates,technical report,Geiger 2001.pdf,Upper Klamath Lake
