DATE,Site Name,Site #,Duplicate site? (Y/N),JD,CJD,MO,DAY,YR,TIME,Q (cfs),Staff gage (ft),TEMP (?C),COND (microS/cm),DO (mg/L),PH,PSAT (%),TP (microg/L),PO4 (microg/L),NH4 (microg/L),NO2 (microg/L),NO3+NO2 (microg/L),TN (microg/L),SiO2 (microg/L),TSS (mg/L),Turbidity (NTU),Notes
06/01/16,Sevenmile Canal below West Canal,7MBW,NA,153,1429,6,1,2016,923,28.3,NA,12.1,85,7.3,6.62,80.3,122,91,13,0.5,10,280,34200,1.4,1.31,NA
06/14/16,Sevenmile Canal below West Canal,7MBW,NA,166,1442,6,14,2016,841,50.7,NA,11.1,80,8,6.36,85,108,85,12,0.5,4,237,33300,1.1,1.38,NA
06/30/16,Sevenmile Canal below West Canal,7MBW,NA,182,1458,6,30,2016,939,32,NA,11.4,78,8.6,7.69,91.2,104,83,10,0.5,4,156,32800,1.3,0.945,NA
07/13/16,Sevenmile Canal below West Canal,7MBW,NA,195,1471,7,13,2016,1115,47.7,NA,11.4,82,7.9,6.8,84.7,115,86,6,0.5,10,227,33700,0.5,1.07,NA
07/28/16,Sevenmile Canal below West Canal,7MBW,NA,210,1486,7,28,2016,1000,NA,NA,12.7,79,7.8,6.68,85.6,108,87,16,0.5,4,193,34200,1.3,1.38,NA
08/11/16,Sevenmile Canal below West Canal,7MBW,NA,224,1500,8,11,2016,1030,38.6,NA,11.8,82,7.6,7.76,82.2,114,93,12,0.5,9,236,33400,0.5,1.13,NA
08/24/16,Sevenmile Canal below West Canal,7MBW,NA,237,1513,8,24,2016,1000,28.8,NA,10.4,79,8,7.36,83.6,96,72,10,0.5,10,206,32400,1.1,0.862,NA
09/07/16,Sevenmile Canal below West Canal,7MBW,NA,251,1527,9,7,2016,940,33.5,NA,9.6,84,7.7,7.32,78.8,103,80,15,0.5,4,267,33700,1.2,1.16,NA
09/21/16,Sevenmile Canal below West Canal,7MBW,NA,265,1541,9,21,2016,1015,33.7,NA,8.5,77,9,7.43,89.7,88,75,7,0.5,4,152,33000,1,0.809,NA
10/06/16,Sevenmile Canal below West Canal,7MBW,NA,280,1556,10,6,2016,945,63.8,NA,6.2,78,9,7,86.2,108,78,8,0.5,8,160,33100,1.1,1.03,NA
10/20/16,Sevenmile Canal below West Canal,7MBW,NA,294,1570,10,20,2016,1009,NA,NA,5.7,96,9.1,7.27,83.4,117,86,16,0.5,15,442,34800,0.5,1.28,NA
11/03/16,Sevenmile Canal below West Canal,7MBW,NA,308,1584,11,3,2016,925,96.3,NA,4.6,103,9.4,6.95,86.1,110,83,14,1,16,280,33700,0.5,1.42,NA
11/17/16,Sevenmile Canal below West Canal,7MBW,NA,322,1598,11,17,2016,956,156,NA,3.3,82,10.3,7.08,89.4,88,65,14,0.5,4,288,34200,2.2,2.41,NA
12/01/16,Sevenmile Canal below West Canal,7MBW,NA,336,1612,12,1,2016,1119,131,NA,2.3,86,11.2,7.65,95.6,85,67,12,0.5,9,161,35300,2.6,2.3,NA
03/08/16,West Canal,WC,NA,68,1344,3,8,2016,1031,113.9,NA,1.2,89,10.4,7.29,86.5,115,66,30,0.5,60,541,26400,8.9,5.1,NA
03/24/16,West Canal,WC,NA,84,1360,3,24,2016,1220,70.7,NA,6.1,98,10.4,7.09,97.3,122,77,29,0.5,40,601,31000,5.1,3.42,NA
04/06/16,West Canal,WC,NA,97,1373,4,6,2016,944,18.4,NA,6.3,106,9.2,7.07,85.9,130,89,27,0.5,23,275,35700,2.6,2.57,NA
04/19/16,West Canal,WC,NA,110,1386,4,19,2016,1123,35.6,NA,9.9,113,9.5,7.34,98.2,156,111,18,0.5,14,458,37500,2.9,2.17,NA
05/04/16,West Canal,WC,NA,125,1401,5,4,2016,1220,50.8,NA,10.8,110,7.6,7.11,79.9,191,119,25,0.5,19,723,36900,10.8,NA,NA
05/17/16,West Canal,WC,NA,138,1414,5,17,2016,1209,51.1,NA,12.4,106,7.8,7.1,85.3,159,100,17,0.5,14,656,36000,3.2,2.26,NA
06/01/16,West Canal,WC,NA,153,1429,6,1,2016,1143,30.2,NA,16.9,119,4.4,6.88,53,227,149,21,0.5,15,683,41100,1.9,2.19,NA
06/14/16,West Canal,WC,NA,166,1442,6,14,2016,1035,32.5,NA,14.9,103,5.1,7.11,59,154,113,12,0.5,4,538,38000,1.6,2.03,NA
06/30/16,West Canal,WC,NA,182,1458,6,30,2016,829,15.9,NA,19.3,117,3.2,7.31,41.9,227,146,27,0.5,15,603,39700,2,2.31,NA
07/13/16,West Canal,WC,NA,195,1471,7,13,2016,950,51.1,NA,15.7,109,NA,6.83,NA,205,139,15,1,14,601,39700,1.6,1.46,NA
